severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Low,Review unwanted AI crawlers with AI Labyrinth,cstraka.dev,Configuration suggestion,2026-08-13T15:26:21.904593Z,Active,Review unwanted AI crawlers with AI Labyrinth. AI Labyrinth modifies your web pages by adding nofollow links that contain AI-generated content to disrupt bots ignoring crawling standards. The nofollow links added do not alter the contents of your web pages and are only visible to bots.,We reviewed your Cloudflare Security settings of AI Labyrinth.,AI crawlers that do not adhere to the recommended guidelines crawl without permission.,"Enable AI Labyrinth. "
Low,Security.txt not configured,cstraka.dev,Configuration suggestion,2026-09-10T12:08:11.680943Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Moderate,Bot Fight Mode not enabled,cstraka.dev,Configuration suggestion,2026-09-10T12:08:12.108762Z,Active,"Bot Fight Mode not enabled. Bot Fight Mode is a free tool that helps detect and mitigate bot traffic on your domain. When enabled, the product:

 * Identifies traffic matching patterns of known bots

 * Issues computationally expensive challenges in response to these bots

 * Notifies <a target=""_blank"" href=""https://cloudflare.com/bandwidth-alliance/"">Bandwidth Alliance</a> partners (if applicable) to disable bots",We reviewed your Cloudflare Security settings for Bot Fight Mode.,Unmitigated automated bot traffic,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Moderate,Domains without HSTS,cstraka.dev,Insecure configuration,2026-09-07T15:15:49.186237Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,"Domains without ""Always Use HTTPS""",www.cstraka.dev,Insecure configuration,2026-09-07T15:15:48.634352Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,www.cstraka.dev,Insecure configuration,2026-09-07T15:15:48.634357Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains supporting older TLS version,www.cstraka.dev,Compliance violation,2026-09-07T15:15:48.634358Z,Active,Domains supporting older TLS version. Your host supports older versions of the TLS protocol.,We have successfully made HTTPS connections to port 443 specifying TLS 1.0 and TLS 1.1.,Insecure TLS Encryption,Update your minimum TLS version. Reconfigure the minimum TLS version for this zone to TLS 1.2 in your Cloudflare SSL/TLS Edge Certificates settings.
Low,Security.txt not configured,barbart.ca,Configuration suggestion,2026-09-06T13:30:56.633607Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Moderate,Bot Fight Mode not enabled,barbart.ca,Configuration suggestion,2026-09-06T13:30:56.43392Z,Active,"Bot Fight Mode not enabled. Bot Fight Mode is a free tool that helps detect and mitigate bot traffic on your domain. When enabled, the product:

 * Identifies traffic matching patterns of known bots

 * Issues computationally expensive challenges in response to these bots

 * Notifies <a target=""_blank"" href=""https://cloudflare.com/bandwidth-alliance/"">Bandwidth Alliance</a> partners (if applicable) to disable bots",We reviewed your Cloudflare Security settings for Bot Fight Mode.,Unmitigated automated bot traffic,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Moderate,Domains without HSTS,barbart.ca,Insecure configuration,2026-09-10T06:40:21.105455Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
